metric,total_row_count,total_metric_frequency,events_covered,records
faithfulness,11582775,3599579,1,451
answer_relevancy,10234385,3331326,1,423
answer_correctness,2257844,1088832,1,306
context_recall,1936109,991912,1,386
context_precision,1268293,592550,1,326
semantic_similarity,951169,409271,1,155
llm_context_precision_without_reference,670009,364218,1,27
factual_correctness,648317,335107,1,64
context_relevancy,1535580,264239,1,58
answer_similarity,514311,224482,1,163
e2e_accuracy,1335482,219400,1,4
context_relevance,847840,218985,1,4
response_groundedness,849483,216894,1,3
llm_context_precision_with_reference,478730,160256,1,31
context_entity_recall,264802,160162,1,103
rouge_score,2240410,153447,1,24
coherence,165896,142525,1,35
harmfulness,139661,113240,1,95
completeness,116942,112823,1,3
relevance,113300,108740,1,3
coverage,106658,102959,1,1
maliciousness,318283,97995,1,33
bleu_score,1133703,97842,1,4
consistency,105955,96177,1,1
non_llm_string_similarity,5922504,89641,1,12
noise_sensitivity,82178,77706,1,1
context_utilization,117931,58212,1,58
correctness,130230,45300,1,31
reversed_answer_correctness,73949,42882,1,1
summary_score,70203,41222,1,8
noise_sensitivity_relevant,62916,40785,1,32
conciseness,58375,38934,1,37
nv_accuracy,98165,29308,1,1
bias,28926,28926,1,2
domain_specific_rubrics,49870,27259,1,2
non_llm_context_precision_with_reference,89031,24447,1,7
non_llm_context_recall,103401,22406,1,4
faithfulness_with_hhem,28918,20791,1,2
nv_context_relevance,71016,14531,1,1
summary_accuracy,30915,12041,1,1
equivalence_score,11143,11143,1,1
goal_achievement_v2_1,49066,10748,1,2
nv_response_groundedness,57555,9938,1,1
topic_adherence,9946,7758,1,1
paragraph_faithfulness,7572,7572,1,1
exact_match,609665,7551,1,32
llm_sql_equivalence_with_reference,10511,6863,1,1
agent_goal_accuracy,7772,5833,1,1
faithful_rate,11254,4161,1,5
relevance_rate,10112,3912,1,3
rag_score,10198,3716,1,1
conciseness_and_efficiency_metric,7012,3455,1,1
contextual_relevance_and_usefullnes_metric,6948,3403,1,1
coherence_and_clarity_metric,6988,3384,1,1
precision,7052,3383,1,1
completness_metric,6897,3333,1,1
accuracy,133874,3318,1,2
recall,6340,3310,1,1
binary_correctness,3158,3158,1,1
data_compare_score,64653,2836,1,1
sme_accuracy,5767,2752,1,1
sme_precision,5583,2641,1,1
flowvalidationsaccuracy_make_a_payment_amount_validation,2637,2637,1,2
toxicityai,2624,2624,1,2
flowvalidationsaccuracy_make_a_payment_add_debit_card_validation,2621,2621,1,2
testscenarioaccuracyai,2619,2619,1,2
flowvalidationsaccuracy_make_a_payment_add_bank_account_validation,2618,2618,1,2
factualaccuracy,2617,2617,1,2
flowvalidationsaccuracy_make_a_payment_payment_method_validation,2615,2615,1,2
testscenarioaccuracyuser,2615,2615,1,2
sme_coverage,5382,2567,1,1
sme_style,5354,2567,1,1
interestingness,2430,2120,1,1
humanness,2458,2118,1,1
making_sense,2414,2113,1,1
fluency,2400,2089,1,1
repetition,2323,2061,1,1
engagingness,2355,2051,1,1
knowledgability,2151,1938,1,1
tool_call_accuracy,6346,1914,1,1
listening,2099,1909,1,1
inquisitiveness,2121,1904,1,1
string_present,12513,1631,1,10
eis_fidelity,4769,1497,1,2
citation_score,1459,1459,1,1
answer_correctness_custom,1365,1365,1,1
factual_correctness_from_answer_correctness,2079,1213,1,1
semantic_similarity_from_answer_correctness,2023,1191,1,1
code_bleu,7616,1148,1,2
llm_faithfulness,4499,1116,1,1
llm_kql_equivalence_with_reference,8371,979,1,1
eis_answer_correctness,978,978,1,1
eis_answer_relevancy,978,978,1,1
hallucinations_rubric,1117,951,1,3
citation_quality,1527,943,1,1
answer_depth,1508,925,1,1
rubrics_score_with_reference,1106,922,1,2
answer_coherence,1461,917,1,1
ragas_answer_correctness,2483,916,1,1
answer_completeness,1438,908,1,1
answer_clarity,1408,880,1,1
ragas_factual_correctness,2490,876,1,1
ragas_semantic_similarity,2486,837,1,1
course_grained_score,944,756,1,1
noise_sensitivity_irrelevant,4699,679,1,6
answer_precision,6387,560,1,9
answer_recall,5871,533,1,12
correctness_custom,3087,528,1,1
expert_question_answering,523,523,1,1
flowvalidationsaccuracy_make_a_payment_payment_authorisation_validation,511,511,1,1
answer_relevance,508,508,1,1
answered_binary,587,452,1,1
general_eval_metric,591,449,1,1
answer_provided,580,448,1,1
hallucinations_binary,606,408,1,3
toxicity,577,404,1,2
hallucinations,437,378,1,1
dexpert_answer_relevancy,372,372,1,1
dexpert_context_relevancy,372,372,1,1
dexpert_faithfulness,372,372,1,1
rephrase_accuracy,1331,368,1,1
ragas_faithfulness,1770,365,1,2
answer_usability,1337,363,1,1
repetitiveness_score,1978,341,1,1
homogenization,384,337,1,1
guideline_compliance,3200,327,1,1
routing_accuracy,971,316,1,1
personal_finance_relevancy,480,316,1,1
is_relevant,3957,307,1,1
answer_comparison,300,300,1,1
cs_quality,30948,298,1,1
harmful_bias,331,294,1,1
competencia_rubric,321,294,1,1
tone_appropriateness,927,282,1,1
rougel,1088,248,1,1
user_name_check,452,237,1,1
lack_empathy,278,227,1,1
answer_relevancy_rubric,2880,225,1,1
finalresponseaccuracy,923,224,1,1
black_bias,260,222,1,1
rag_quality,716,218,1,1
agent_name_check,367,217,1,1
hispanic_bias,269,216,1,1
refusal_rate,239,214,1,1
rouge1,697,211,1,1
structural_validation,210,210,1,1
rouge2,697,209,1,1
organization_name_check,365,209,1,1
comprension_necesidades_locales_rubric,235,209,1,1
relevance_rubric,238,206,1,1
adecuacion_cultural_rubric,235,206,1,1
user_centric_rubric,233,206,1,1
seguridad_percibida_rubric,232,206,1,1
apego_normas_para_sugerir_rubric,237,205,1,1
redundant_rubric,237,205,1,1
hallucinations_metric,368,204,1,3
engagement_rubric,236,204,1,1
lenguaje_inclusivo_rubric,236,204,1,1
corectness_custom,359,200,1,1
responsecorrectness,206,198,1,1
coverage_scorer,418,196,1,1
uso_de_malas_palabras_rubric,221,196,1,1
consistencia_rubric,215,196,1,1
uso_de_tecnicalidades_rubric,215,196,1,1
tono_del_agente_rubric,216,194,1,1
datos_personales_rubric,210,190,1,1
legis_contain_normative_rule,723,187,1,1
aspect_critique,249,181,1,1
relevance_scorer,373,180,1,1
excess_scorer,372,177,1,1
correctness_scorer,369,177,1,1
sql_accuracy,493,174,1,1
forgetfulness_aspect_critic,224,172,1,1
is_reject,1882,161,1,1
summaryaccuracy,160,160,1,1
legis_conciseness,435,155,1,1
style_guideline_metric,168,154,1,1
summary_structure_metric,168,154,1,1
attack_extraction,576,151,1,1
bias_evaluation,142,142,1,1
legis_check_explanation,334,136,1,1
factual_correctness_f1,1530,130,1,8
meteor_metric,1524,125,1,14
legal_correctness,169,124,1,1
answer_accuracy,345,122,1,1
answer_f1,2326,121,1,2
statements_num_answer_only,2326,121,1,2
statements_num_gt_only,2326,121,1,2
statements_overlap,2326,121,1,2
answers_question,318,121,1,1
cosine spread,5067,117,1,1
rejection,559,115,1,1
specificity,183,112,1,1
factual_correctness_recall,1082,109,1,6
factual_correctness_precision,1077,108,1,6
coverage_accuracy,282,107,1,1
clarity,272,106,1,1
